k,Agglomerative_Raw,Agglomerative_1dp,KMeans_Mean_Raw,KMeans_Std,KMeans_1dp
2,0.4810807430872905,0.5,0.4838041747473147,0.0,0.5
3,0.462735761945857,0.5,0.4700873409559692,0.0053364589567820924,0.5
4,0.5382099496399645,0.5,0.5862007530195747,0.0,0.6
5,0.5869519761581022,0.6,0.6055619042167578,0.0,0.6
