Mode,Tokens/s ↑,Peak MB ↓,Time (s) ↓,Speed Δ%,Memory Δ%,Time Δ%
Baseline (manual),14648,43,0.350,—,—,—
SDPA (fused),302531,24,0.017,+1965%,+43%,+95%
