Using device: cuda
Training model...
Epoch 1/30 | Batch 4100/21973 | Loss: 3.4365 | BPB: 4.9579 | LR: 0.000000 | GradNorm: 3.4403 | ms/batch: 47.1
Epoch 1/30 | Batch 4200/21973 | Loss: 3.4336 | BPB: 4.9536 | LR: 0.000000 | GradNorm: 3.3717 | ms/batch: 47.1
Epoch 1/30 | Batch 4300/21973 | Loss: 3.4306 | BPB: 4.9493 | LR: 0.000000 | GradNorm: 3.3976 | ms/batch: 47.1
Epoch 1/30 | Batch 4400/21973 | Loss: 3.4275 | BPB: 4.9448 | LR: 0.000000 | GradNorm: 3.5266 | ms/batch: 47.1
Epoch 1/30 | Batch 4500/21973 | Loss: 3.4243 | BPB: 4.9403 | LR: 0.000000 | GradNorm: 3.3863 | ms/batch: 47.1
Epoch 1/30 | Batch 4600/21973 | Loss: 3.4211 | BPB: 4.9356 | LR: 0.000000 | GradNorm: 3.4532 | ms/batch: 47.1
Epoch 1/30 | Batch 4700/21973 | Loss: 3.4179 | BPB: 4.9309 | LR: 0.000000 | GradNorm: 3.3215 | ms/batch: 47.1
Epoch 1/30 | Batch 4800/21973 | Loss: 3.4145 | BPB: 4.9261 | LR: 0.000000 | GradNorm: 3.4230 | ms/batch: 47.0
Epoch 1/30 | Batch 4900/21973 | Loss: 3.4111 | BPB: 4.9212 | LR: 0.000000 | GradNorm: 3.4339 | ms/batch: 47.0
Epoch 1/30 | Batch 5000/21973 | Loss: 3.4077 | BPB: 4.9162 | LR: 0.000000 | GradNorm: 3.4481 | ms/batch: 47.0
Epoch 1/30 | Batch 5100/21973 | Loss: 3.4042 | BPB: 4.9113 | LR: 0.000000 | GradNorm: 3.3734 | ms/batch: 47.0
Epoch 1/30 | Batch 5200/21973 | Loss: 3.4006 | BPB: 4.9061 | LR: 0.000000 | GradNorm: 3.3816 | ms/batch: 47.0
Epoch 1/30 | Batch 5300/21973 | Loss: 3.3970 | BPB: 4.9008 | LR: 0.000000 | GradNorm: 3.4832 | ms/batch: 47.0
Epoch 1/30 | Batch 5400/21973 | Loss: 3.3933 | BPB: 4.8955 | LR: 0.000000 | GradNorm: 3.3932 | ms/batch: 47.0
Epoch 1/30 | Batch 5500/21973 | Loss: 3.3896 | BPB: 4.8902 | LR: 0.000000 | GradNorm: 3.4113 | ms/batch: 47.0
Epoch 1/30 | Batch 5600/21973 | Loss: 3.3858 | BPB: 4.8846 | LR: 0.000000 | GradNorm: 3.4252 | ms/batch: 47.0
Epoch 1/30 | Batch 5700/21973 | Loss: 3.3819 | BPB: 4.8790 | LR: 0.000000 | GradNorm: 3.4051 | ms/batch: 47.0
Epoch 1/30 | Batch 5800/21973 | Loss: 3.3780 | BPB: 4.8734 | LR: 0.000000 | GradNorm: 3.4571 | ms/batch: 47.0
Epoch 1/30 | Batch 5900/21973 | Loss: 3.3740 | BPB: 4.8677 | LR: 0.000000 | GradNorm: 3.4035 | ms/batch: 47.0
Epoch 1/30 | Batch 6000/21973 | Loss: 3.3699 | BPB: 4.8618 | LR: 0.000000 | GradNorm: 3.3977 | ms/batch: 47.0
Epoch 1/30 | Batch 6100/21973 | Loss: 3.3658 | BPB: 4.8559 | LR: 0.000000 | GradNorm: 3.3097 | ms/batch: 47.0
Epoch 1/30 | Batch 6200/21973 | Loss: 3.3616 | BPB: 4.8498 | LR: 0.000000 | GradNorm: 3.4080 | ms/batch: 46.9
Epoch 1/30 | Batch 6300/21973 | Loss: 3.3574 | BPB: 4.8437 | LR: 0.000000 | GradNorm: 3.3577 | ms/batch: 46.9
Epoch 1/30 | Batch 6400/21973 | Loss: 3.3532 | BPB: 4.8376 | LR: 0.000000 | GradNorm: 3.4146 | ms/batch: 46.9
Epoch 1/30 | Batch 6500/21973 | Loss: 3.3488 | BPB: 4.8313 | LR: 0.000001 | GradNorm: 3.3840 | ms/batch: 46.9
Epoch 1/30 | Batch 6600/21973 | Loss: 3.3444 | BPB: 4.8250 | LR: 0.000001 | GradNorm: 3.3906 | ms/batch: 46.9
Epoch 1/30 | Batch 6700/21973 | Loss: 3.3400 | BPB: 4.8186 | LR: 0.000001 | GradNorm: 3.4870 | ms/batch: 46.9
Epoch 1/30 | Batch 6800/21973 | Loss: 3.3355 | BPB: 4.8121 | LR: 0.000001 | GradNorm: 3.3578 | ms/batch: 46.9
Epoch 1/30 | Batch 6900/21973 | Loss: 3.3310 | BPB: 4.8056 | LR: 0.000001 | GradNorm: 3.4823 | ms/batch: 46.9
Epoch 1/30 | Batch 7000/21973 | Loss: 3.3264 | BPB: 4.7989 | LR: 0.000001 | GradNorm: 3.4191 | ms/batch: 46.9
Epoch 1/30 | Batch 7100/21973 | Loss: 3.3217 | BPB: 4.7923 | LR: 0.000001 | GradNorm: 3.3452 | ms/batch: 46.9
Epoch 1/30 | Batch 7200/21973 | Loss: 3.3171 | BPB: 4.7855 | LR: 0.000001 | GradNorm: 3.4686 | ms/batch: 46.9
Epoch 1/30 | Batch 7300/21973 | Loss: 3.3123 | BPB: 4.7786 | LR: 0.000001 | GradNorm: 3.4072 | ms/batch: 46.9
Epoch 1/30 | Batch 7400/21973 | Loss: 3.3074 | BPB: 4.7715 | LR: 0.000001 | GradNorm: 3.4217 | ms/batch: 46.9
Epoch 1/30 | Batch 7500/21973 | Loss: 3.3025 | BPB: 4.7645 | LR: 0.000001 | GradNorm: 3.4640 | ms/batch: 46.9
Epoch 1/30 | Batch 7600/21973 | Loss: 3.2976 | BPB: 4.7575 | LR: 0.000001 | GradNorm: 3.3709 | ms/batch: 46.9
Epoch 1/30 | Batch 7700/21973 | Loss: 3.2927 | BPB: 4.7503 | LR: 0.000001 | GradNorm: 3.3937 | ms/batch: 46.9
Epoch 1/30 | Batch 7800/21973 | Loss: 3.2876 | BPB: 4.7430 | LR: 0.000001 | GradNorm: 3.4787 | ms/batch: 46.9
Epoch 1/30 | Batch 7900/21973 | Loss: 3.2825 | BPB: 4.7357 | LR: 0.000001 | GradNorm: 3.3536 | ms/batch: 46.9
Epoch 1/30 | Batch 8000/21973 | Loss: 3.2775 | BPB: 4.7284 | LR: 0.000001 | GradNorm: 3.2998 | ms/batch: 46.9
Epoch 1/30 | Batch 8100/21973 | Loss: 3.2723 | BPB: 4.7210 | LR: 0.000001 | GradNorm: 3.4409 | ms/batch: 46.9
Epoch 1/30 | Batch 8200/21973 | Loss: 3.2672 | BPB: 4.7135 | LR: 0.000001 | GradNorm: 3.3932 | ms/batch: 46.9
Epoch 1/30 | Batch 8300/21973 | Loss: 3.2619 | BPB: 4.7059 | LR: 0.000001 | GradNorm: 3.3637 | ms/batch: 46.9
Epoch 1/30 | Batch 8400/21973 | Loss: 3.2566 | BPB: 4.6982 | LR: 0.000001 | GradNorm: 3.3275 | ms/batch: 46.9
Epoch 1/30 | Batch 8500/21973 | Loss: 3.2512 | BPB: 4.6905 | LR: 0.000001 | GradNorm: 3.3652 | ms/batch: 46.9
Epoch 1/30 | Batch 8600/21973 | Loss: 3.2458 | BPB: 4.6828 | LR: 0.000001 | GradNorm: 3.3183 | ms/batch: 46.9
Epoch 1/30 | Batch 8700/21973 | Loss: 3.2404 | BPB: 4.6750 | LR: 0.000001 | GradNorm: 3.3199 | ms/batch: 46.9
Epoch 1/30 | Batch 8800/21973 | Loss: 3.2349 | BPB: 4.6670 | LR: 0.000001 | GradNorm: 3.3537 | ms/batch: 46.9
Epoch 1/30 | Batch 8900/21973 | Loss: 3.2294 | BPB: 4.6591 | LR: 0.000001 | GradNorm: 3.3053 | ms/batch: 46.8
Epoch 1/30 | Batch 9000/21973 | Loss: 3.2239 | BPB: 4.6511 | LR: 0.000001 | GradNorm: 3.3058 | ms/batch: 46.8
Epoch 1/30 | Batch 9100/21973 | Loss: 3.2184 | BPB: 4.6431 | LR: 0.000001 | GradNorm: 3.3225 | ms/batch: 46.8
Epoch 1/30 | Batch 9200/21973 | Loss: 3.2128 | BPB: 4.6350 | LR: 0.000001 | GradNorm: 3.3697 | ms/batch: 46.8
Epoch 1/30 | Batch 9300/21973 | Loss: 3.2070 | BPB: 4.6268 | LR: 0.000001 | GradNorm: 3.3539 | ms/batch: 46.8
Epoch 1/30 | Batch 9400/21973 | Loss: 3.2013 | BPB: 4.6185 | LR: 0.000001 | GradNorm: 3.3052 | ms/batch: 46.8
Epoch 1/30 | Batch 9500/21973 | Loss: 3.1956 | BPB: 4.6103 | LR: 0.000001 | GradNorm: 3.3159 | ms/batch: 46.8
Epoch 1/30 | Batch 9600/21973 | Loss: 3.1899 | BPB: 4.6020 | LR: 0.000001 | GradNorm: 3.3213 | ms/batch: 46.8
Epoch 1/30 | Batch 9700/21973 | Loss: 3.1841 | BPB: 4.5937 | LR: 0.000001 | GradNorm: 3.2795 | ms/batch: 46.8
Epoch 1/30 | Batch 9800/21973 | Loss: 3.1783 | BPB: 4.5853 | LR: 0.000001 | GradNorm: 3.2595 | ms/batch: 46.8
Epoch 1/30 | Batch 9900/21973 | Loss: 3.1724 | BPB: 4.5768 | LR: 0.000001 | GradNorm: 3.3450 | ms/batch: 46.8
Epoch 1/30 | Batch 10000/21973 | Loss: 3.1664 | BPB: 4.5681 | LR: 0.000001 | GradNorm: 3.3220 | ms/batch: 46.8
Epoch 1/30 | Batch 10100/21973 | Loss: 3.1605 | BPB: 4.5597 | LR: 0.000001 | GradNorm: 3.2679 | ms/batch: 46.8
