Using device: cuda
Training model...
Epoch 1/1 | Batch 4900/21973 | Loss: 2.5140 | BPB: 3.6269 | LR: 0.000002 | ms/batch: 48.1
Epoch 1/1 | Batch 5000/21973 | Loss: 2.4940 | BPB: 3.5981 | LR: 0.000002 | ms/batch: 48.1
Epoch 1/1 | Batch 5100/21973 | Loss: 2.4737 | BPB: 3.5688 | LR: 0.000003 | ms/batch: 48.1
Epoch 1/1 | Batch 5200/21973 | Loss: 2.4529 | BPB: 3.5387 | LR: 0.000003 | ms/batch: 48.1
Epoch 1/1 | Batch 5300/21973 | Loss: 2.4322 | BPB: 3.5089 | LR: 0.000003 | ms/batch: 48.1
Epoch 1/1 | Batch 5400/21973 | Loss: 2.4111 | BPB: 3.4785 | LR: 0.000003 | ms/batch: 48.1
Epoch 1/1 | Batch 5500/21973 | Loss: 2.3898 | BPB: 3.4477 | LR: 0.000003 | ms/batch: 48.1
Epoch 1/1 | Batch 5600/21973 | Loss: 2.3686 | BPB: 3.4171 | LR: 0.000003 | ms/batch: 48.1
Epoch 1/1 | Batch 5700/21973 | Loss: 2.3471 | BPB: 3.3862 | LR: 0.000003 | ms/batch: 48.1
Epoch 1/1 | Batch 5800/21973 | Loss: 2.3257 | BPB: 3.3553 | LR: 0.000003 | ms/batch: 48.1
Epoch 1/1 | Batch 5900/21973 | Loss: 2.3041 | BPB: 3.3241 | LR: 0.000003 | ms/batch: 48.1
Epoch 1/1 | Batch 6000/21973 | Loss: 2.2824 | BPB: 3.2928 | LR: 0.000004 | ms/batch: 48.1
Epoch 1/1 | Batch 6100/21973 | Loss: 2.2608 | BPB: 3.2617 | LR: 0.000004 | ms/batch: 48.1
Epoch 1/1 | Batch 6200/21973 | Loss: 2.2393 | BPB: 3.2306 | LR: 0.000004 | ms/batch: 48.1
Epoch 1/1 | Batch 6300/21973 | Loss: 2.2180 | BPB: 3.1999 | LR: 0.000004 | ms/batch: 48.1
Epoch 1/1 | Batch 6400/21973 | Loss: 2.1967 | BPB: 3.1691 | LR: 0.000004 | ms/batch: 48.1
Epoch 1/1 | Batch 6500/21973 | Loss: 2.1756 | BPB: 3.1388 | LR: 0.000004 | ms/batch: 48.1
Epoch 1/1 | Batch 6600/21973 | Loss: 2.1547 | BPB: 3.1086 | LR: 0.000004 | ms/batch: 48.1
Epoch 1/1 | Batch 6700/21973 | Loss: 2.1340 | BPB: 3.0786 | LR: 0.000004 | ms/batch: 48.1
Epoch 1/1 | Batch 6800/21973 | Loss: 2.1134 | BPB: 3.0489 | LR: 0.000005 | ms/batch: 48.1
Epoch 1/1 | Batch 6900/21973 | Loss: 2.0930 | BPB: 3.0196 | LR: 0.000005 | ms/batch: 48.1
Epoch 1/1 | Batch 7000/21973 | Loss: 2.0729 | BPB: 2.9905 | LR: 0.000005 | ms/batch: 48.1
Epoch 1/1 | Batch 7100/21973 | Loss: 2.0530 | BPB: 2.9619 | LR: 0.000005 | ms/batch: 48.1
Epoch 1/1 | Batch 7200/21973 | Loss: 2.0334 | BPB: 2.9336 | LR: 0.000005 | ms/batch: 48.1
Epoch 1/1 | Batch 7300/21973 | Loss: 2.0139 | BPB: 2.9055 | LR: 0.000005 | ms/batch: 48.1
Epoch 1/1 | Batch 7400/21973 | Loss: 1.9949 | BPB: 2.8780 | LR: 0.000005 | ms/batch: 48.1
Epoch 1/1 | Batch 7500/21973 | Loss: 1.9761 | BPB: 2.8509 | LR: 0.000005 | ms/batch: 48.1
Epoch 1/1 | Batch 7600/21973 | Loss: 1.9576 | BPB: 2.8242 | LR: 0.000006 | ms/batch: 48.1
Epoch 1/1 | Batch 7700/21973 | Loss: 1.9394 | BPB: 2.7979 | LR: 0.000006 | ms/batch: 48.1
Epoch 1/1 | Batch 7800/21973 | Loss: 1.9214 | BPB: 2.7719 | LR: 0.000006 | ms/batch: 48.1
Epoch 1/1 | Batch 7900/21973 | Loss: 1.9037 | BPB: 2.7464 | LR: 0.000006 | ms/batch: 48.1
Epoch 1/1 | Batch 8000/21973 | Loss: 1.8863 | BPB: 2.7214 | LR: 0.000006 | ms/batch: 48.1
Epoch 1/1 | Batch 8100/21973 | Loss: 1.8692 | BPB: 2.6967 | LR: 0.000006 | ms/batch: 48.1
Epoch 1/1 | Batch 8200/21973 | Loss: 1.8524 | BPB: 2.6725 | LR: 0.000007 | ms/batch: 48.1
Epoch 1/1 | Batch 8300/21973 | Loss: 1.8359 | BPB: 2.6487 | LR: 0.000007 | ms/batch: 48.1
Epoch 1/1 | Batch 8400/21973 | Loss: 1.8197 | BPB: 2.6252 | LR: 0.000007 | ms/batch: 48.1
Epoch 1/1 | Batch 8500/21973 | Loss: 1.8037 | BPB: 2.6021 | LR: 0.000007 | ms/batch: 48.1
Epoch 1/1 | Batch 8600/21973 | Loss: 1.7880 | BPB: 2.5796 | LR: 0.000007 | ms/batch: 48.1
Epoch 1/1 | Batch 8700/21973 | Loss: 1.7726 | BPB: 2.5573 | LR: 0.000007 | ms/batch: 48.1
Epoch 1/1 | Batch 8800/21973 | Loss: 1.7573 | BPB: 2.5353 | LR: 0.000008 | ms/batch: 48.1
Epoch 1/1 | Batch 8900/21973 | Loss: 1.7424 | BPB: 2.5138 | LR: 0.000008 | ms/batch: 48.1
Epoch 1/1 | Batch 9000/21973 | Loss: 1.7277 | BPB: 2.4926 | LR: 0.000008 | ms/batch: 48.1
Epoch 1/1 | Batch 9100/21973 | Loss: 1.7133 | BPB: 2.4718 | LR: 0.000008 | ms/batch: 48.1
Epoch 1/1 | Batch 9200/21973 | Loss: 1.6992 | BPB: 2.4514 | LR: 0.000008 | ms/batch: 48.1
Epoch 1/1 | Batch 9300/21973 | Loss: 1.6852 | BPB: 2.4313 | LR: 0.000008 | ms/batch: 48.1
Epoch 1/1 | Batch 9400/21973 | Loss: 1.6716 | BPB: 2.4115 | LR: 0.000009 | ms/batch: 48.1
Epoch 1/1 | Batch 9500/21973 | Loss: 1.6581 | BPB: 2.3922 | LR: 0.000009 | ms/batch: 48.1
Epoch 1/1 | Batch 9600/21973 | Loss: 1.6449 | BPB: 2.3731 | LR: 0.000009 | ms/batch: 48.1
Epoch 1/1 | Batch 9700/21973 | Loss: 1.6319 | BPB: 2.3544 | LR: 0.000009 | ms/batch: 48.1
Epoch 1/1 | Batch 9800/21973 | Loss: 1.6191 | BPB: 2.3359 | LR: 0.000009 | ms/batch: 48.1
Epoch 1/1 | Batch 9900/21973 | Loss: 1.6066 | BPB: 2.3178 | LR: 0.000010 | ms/batch: 48.1
Epoch 1/1 | Batch 10000/21973 | Loss: 1.5942 | BPB: 2.3000 | LR: 0.000010 | ms/batch: 48.1
Epoch 1/1 | Batch 10100/21973 | Loss: 1.5821 | BPB: 2.2824 | LR: 0.000010 | ms/batch: 48.1
Epoch 1/1 | Batch 10200/21973 | Loss: 1.5701 | BPB: 2.2652 | LR: 0.000010 | ms/batch: 48.2
Epoch 1/1 | Batch 10300/21973 | Loss: 1.5584 | BPB: 2.2483 | LR: 0.000010 | ms/batch: 48.2
Epoch 1/1 | Batch 10400/21973 | Loss: 1.5469 | BPB: 2.2316 | LR: 0.000011 | ms/batch: 48.2
