Using device: cuda
Training model...
Epoch 1/5 | Batch 0/21973 | Loss: 2.9377 | BPB: 4.2382 | LR: 0.000000 | ms/batch: 854.4
Epoch 1/5 | Batch 100/21973 | Loss: 2.9495 | BPB: 4.2552 | LR: 0.000000 | ms/batch: 55.6
Epoch 1/5 | Batch 200/21973 | Loss: 2.9495 | BPB: 4.2552 | LR: 0.000000 | ms/batch: 51.1
Epoch 1/5 | Batch 300/21973 | Loss: 2.9500 | BPB: 4.2560 | LR: 0.000000 | ms/batch: 49.5
Epoch 1/5 | Batch 400/21973 | Loss: 2.9499 | BPB: 4.2559 | LR: 0.000000 | ms/batch: 48.8
Epoch 1/5 | Batch 500/21973 | Loss: 2.9500 | BPB: 4.2559 | LR: 0.000000 | ms/batch: 48.4
Epoch 1/5 | Batch 600/21973 | Loss: 2.9496 | BPB: 4.2553 | LR: 0.000000 | ms/batch: 48.2
Epoch 1/5 | Batch 700/21973 | Loss: 2.9491 | BPB: 4.2546 | LR: 0.000000 | ms/batch: 48.0
Epoch 1/5 | Batch 800/21973 | Loss: 2.9479 | BPB: 4.2529 | LR: 0.000000 | ms/batch: 47.8
Epoch 1/5 | Batch 900/21973 | Loss: 2.9468 | BPB: 4.2514 | LR: 0.000000 | ms/batch: 47.7
Epoch 1/5 | Batch 1000/21973 | Loss: 2.9457 | BPB: 4.2497 | LR: 0.000000 | ms/batch: 47.6
Epoch 1/5 | Batch 1100/21973 | Loss: 2.9439 | BPB: 4.2472 | LR: 0.000000 | ms/batch: 47.6
Epoch 1/5 | Batch 1200/21973 | Loss: 2.9421 | BPB: 4.2446 | LR: 0.000000 | ms/batch: 47.6
Epoch 1/5 | Batch 1300/21973 | Loss: 2.9400 | BPB: 4.2415 | LR: 0.000000 | ms/batch: 47.5
Epoch 1/5 | Batch 1400/21973 | Loss: 2.9376 | BPB: 4.2381 | LR: 0.000000 | ms/batch: 47.5
Epoch 1/5 | Batch 1500/21973 | Loss: 2.9349 | BPB: 4.2341 | LR: 0.000000 | ms/batch: 47.4
Epoch 1/5 | Batch 1600/21973 | Loss: 2.9316 | BPB: 4.2294 | LR: 0.000000 | ms/batch: 47.5
Epoch 1/5 | Batch 1700/21973 | Loss: 2.9281 | BPB: 4.2244 | LR: 0.000000 | ms/batch: 47.4
Epoch 1/5 | Batch 1800/21973 | Loss: 2.9241 | BPB: 4.2186 | LR: 0.000000 | ms/batch: 47.4
Epoch 1/5 | Batch 1900/21973 | Loss: 2.9197 | BPB: 4.2122 | LR: 0.000000 | ms/batch: 47.4
Epoch 1/5 | Batch 2000/21973 | Loss: 2.9148 | BPB: 4.2052 | LR: 0.000000 | ms/batch: 47.4
Epoch 1/5 | Batch 2100/21973 | Loss: 2.9095 | BPB: 4.1975 | LR: 0.000000 | ms/batch: 47.4
Epoch 1/5 | Batch 2200/21973 | Loss: 2.9036 | BPB: 4.1890 | LR: 0.000000 | ms/batch: 47.4
Epoch 1/5 | Batch 2300/21973 | Loss: 2.8972 | BPB: 4.1798 | LR: 0.000001 | ms/batch: 47.3
Epoch 1/5 | Batch 2400/21973 | Loss: 2.8903 | BPB: 4.1698 | LR: 0.000001 | ms/batch: 47.3
Epoch 1/5 | Batch 2500/21973 | Loss: 2.8829 | BPB: 4.1591 | LR: 0.000001 | ms/batch: 47.3
Epoch 1/5 | Batch 2600/21973 | Loss: 2.8749 | BPB: 4.1476 | LR: 0.000001 | ms/batch: 47.3
Epoch 1/5 | Batch 2700/21973 | Loss: 2.8663 | BPB: 4.1351 | LR: 0.000001 | ms/batch: 47.3
Epoch 1/5 | Batch 2800/21973 | Loss: 2.8569 | BPB: 4.1217 | LR: 0.000001 | ms/batch: 47.3
Epoch 1/5 | Batch 2900/21973 | Loss: 2.8471 | BPB: 4.1076 | LR: 0.000001 | ms/batch: 47.3
Epoch 1/5 | Batch 3000/21973 | Loss: 2.8368 | BPB: 4.0926 | LR: 0.000001 | ms/batch: 47.3
Epoch 1/5 | Batch 3100/21973 | Loss: 2.8257 | BPB: 4.0766 | LR: 0.000001 | ms/batch: 47.3
Epoch 1/5 | Batch 3200/21973 | Loss: 2.8141 | BPB: 4.0599 | LR: 0.000001 | ms/batch: 47.4
Epoch 1/5 | Batch 3300/21973 | Loss: 2.8020 | BPB: 4.0424 | LR: 0.000001 | ms/batch: 47.4
Epoch 1/5 | Batch 3400/21973 | Loss: 2.7892 | BPB: 4.0239 | LR: 0.000001 | ms/batch: 47.5
Epoch 1/5 | Batch 3500/21973 | Loss: 2.7759 | BPB: 4.0047 | LR: 0.000001 | ms/batch: 47.5
Epoch 1/5 | Batch 3600/21973 | Loss: 2.7619 | BPB: 3.9846 | LR: 0.000001 | ms/batch: 47.5
Epoch 1/5 | Batch 3700/21973 | Loss: 2.7475 | BPB: 3.9638 | LR: 0.000001 | ms/batch: 47.6
Epoch 1/5 | Batch 3800/21973 | Loss: 2.7325 | BPB: 3.9421 | LR: 0.000001 | ms/batch: 47.6
