Using device: cuda
Training model...
Epoch 1/30 | Batch 0/21973 | Loss: 3.5428 | BPB: 5.1112 | LR: 0.000000 |  | ms/batch: 835.0
Epoch 1/30 | Batch 100/21973 | Loss: 3.5436 | BPB: 5.1124 | LR: 0.000000 | GradNorm: 3.2852 | ms/batch: 54.3
Epoch 1/30 | Batch 200/21973 | Loss: 3.5434 | BPB: 5.1120 | LR: 0.000000 | GradNorm: 3.3568 | ms/batch: 49.9
Epoch 1/30 | Batch 300/21973 | Loss: 3.5427 | BPB: 5.1111 | LR: 0.000000 | GradNorm: 3.2908 | ms/batch: 48.5
Epoch 1/30 | Batch 400/21973 | Loss: 3.5429 | BPB: 5.1114 | LR: 0.000000 | GradNorm: 3.2893 | ms/batch: 47.8
Epoch 1/30 | Batch 500/21973 | Loss: 3.5425 | BPB: 5.1107 | LR: 0.000000 | GradNorm: 3.2612 | ms/batch: 47.4
Epoch 1/30 | Batch 600/21973 | Loss: 3.5422 | BPB: 5.1104 | LR: 0.000000 | GradNorm: 3.3280 | ms/batch: 47.2
Epoch 1/30 | Batch 700/21973 | Loss: 3.5418 | BPB: 5.1097 | LR: 0.000000 | GradNorm: 3.3222 | ms/batch: 47.0
Epoch 1/30 | Batch 800/21973 | Loss: 3.5414 | BPB: 5.1092 | LR: 0.000000 | GradNorm: 3.3157 | ms/batch: 46.9
Epoch 1/30 | Batch 900/21973 | Loss: 3.5408 | BPB: 5.1083 | LR: 0.000000 | GradNorm: 3.2922 | ms/batch: 46.8
Epoch 1/30 | Batch 1000/21973 | Loss: 3.5402 | BPB: 5.1075 | LR: 0.000000 | GradNorm: 3.2679 | ms/batch: 46.7
Epoch 1/30 | Batch 1100/21973 | Loss: 3.5397 | BPB: 5.1067 | LR: 0.000000 | GradNorm: 3.2431 | ms/batch: 46.7
Epoch 1/30 | Batch 1200/21973 | Loss: 3.5389 | BPB: 5.1056 | LR: 0.000000 | GradNorm: 3.3073 | ms/batch: 46.6
Epoch 1/30 | Batch 1300/21973 | Loss: 3.5381 | BPB: 5.1043 | LR: 0.000000 | GradNorm: 3.2944 | ms/batch: 46.6
Epoch 1/30 | Batch 1400/21973 | Loss: 3.5369 | BPB: 5.1027 | LR: 0.000000 | GradNorm: 3.3299 | ms/batch: 46.5
Epoch 1/30 | Batch 1500/21973 | Loss: 3.5359 | BPB: 5.1012 | LR: 0.000000 | GradNorm: 3.2214 | ms/batch: 46.5
Epoch 1/30 | Batch 1600/21973 | Loss: 3.5349 | BPB: 5.0998 | LR: 0.000000 | GradNorm: 3.2258 | ms/batch: 46.5
Epoch 1/30 | Batch 1700/21973 | Loss: 3.5338 | BPB: 5.0982 | LR: 0.000000 | GradNorm: 3.3310 | ms/batch: 46.5
Epoch 1/30 | Batch 1800/21973 | Loss: 3.5326 | BPB: 5.0965 | LR: 0.000000 | GradNorm: 3.2926 | ms/batch: 46.5
Epoch 1/30 | Batch 1900/21973 | Loss: 3.5313 | BPB: 5.0946 | LR: 0.000000 | GradNorm: 3.2359 | ms/batch: 46.5
Epoch 1/30 | Batch 2000/21973 | Loss: 3.5300 | BPB: 5.0927 | LR: 0.000000 | GradNorm: 3.2708 | ms/batch: 46.5
Epoch 1/30 | Batch 2100/21973 | Loss: 3.5287 | BPB: 5.0908 | LR: 0.000000 | GradNorm: 3.2522 | ms/batch: 46.5
Epoch 1/30 | Batch 2200/21973 | Loss: 3.5272 | BPB: 5.0887 | LR: 0.000000 | GradNorm: 3.2492 | ms/batch: 46.5
Epoch 1/30 | Batch 2300/21973 | Loss: 3.5257 | BPB: 5.0865 | LR: 0.000000 | GradNorm: 3.2846 | ms/batch: 46.5
Epoch 1/30 | Batch 2400/21973 | Loss: 3.5240 | BPB: 5.0841 | LR: 0.000000 | GradNorm: 3.3236 | ms/batch: 46.5
Epoch 1/30 | Batch 2500/21973 | Loss: 3.5222 | BPB: 5.0815 | LR: 0.000000 | GradNorm: 3.2253 | ms/batch: 46.5
Epoch 1/30 | Batch 2600/21973 | Loss: 3.5206 | BPB: 5.0791 | LR: 0.000000 | GradNorm: 3.2543 | ms/batch: 46.5
Epoch 1/30 | Batch 2700/21973 | Loss: 3.5188 | BPB: 5.0765 | LR: 0.000000 | GradNorm: 3.2975 | ms/batch: 46.5
Epoch 1/30 | Batch 2800/21973 | Loss: 3.5169 | BPB: 5.0738 | LR: 0.000000 | GradNorm: 3.2498 | ms/batch: 46.5
Epoch 1/30 | Batch 2900/21973 | Loss: 3.5149 | BPB: 5.0710 | LR: 0.000000 | GradNorm: 3.2630 | ms/batch: 46.5
Epoch 1/30 | Batch 3000/21973 | Loss: 3.5130 | BPB: 5.0682 | LR: 0.000000 | GradNorm: 3.3001 | ms/batch: 46.4
Epoch 1/30 | Batch 3100/21973 | Loss: 3.5109 | BPB: 5.0652 | LR: 0.000000 | GradNorm: 3.2666 | ms/batch: 46.5
Epoch 1/30 | Batch 3200/21973 | Loss: 3.5087 | BPB: 5.0620 | LR: 0.000000 | GradNorm: 3.3188 | ms/batch: 46.5
Epoch 1/30 | Batch 3300/21973 | Loss: 3.5065 | BPB: 5.0589 | LR: 0.000000 | GradNorm: 3.2584 | ms/batch: 46.4
Epoch 1/30 | Batch 3400/21973 | Loss: 3.5042 | BPB: 5.0556 | LR: 0.000000 | GradNorm: 3.3242 | ms/batch: 46.4
Epoch 1/30 | Batch 3500/21973 | Loss: 3.5018 | BPB: 5.0521 | LR: 0.000000 | GradNorm: 3.3131 | ms/batch: 46.4
Epoch 1/30 | Batch 3600/21973 | Loss: 3.4994 | BPB: 5.0485 | LR: 0.000000 | GradNorm: 3.2613 | ms/batch: 46.4
Epoch 1/30 | Batch 3700/21973 | Loss: 3.4970 | BPB: 5.0451 | LR: 0.000000 | GradNorm: 3.2452 | ms/batch: 46.4
Epoch 1/30 | Batch 3800/21973 | Loss: 3.4944 | BPB: 5.0414 | LR: 0.000000 | GradNorm: 3.2185 | ms/batch: 46.4
Epoch 1/30 | Batch 3900/21973 | Loss: 3.4918 | BPB: 5.0377 | LR: 0.000000 | GradNorm: 3.2915 | ms/batch: 46.4
Epoch 1/30 | Batch 4000/21973 | Loss: 3.4892 | BPB: 5.0338 | LR: 0.000000 | GradNorm: 3.2000 | ms/batch: 46.4
Epoch 1/30 | Batch 4100/21973 | Loss: 3.4864 | BPB: 5.0298 | LR: 0.000000 | GradNorm: 3.2188 | ms/batch: 46.4
Epoch 1/30 | Batch 4200/21973 | Loss: 3.4836 | BPB: 5.0258 | LR: 0.000000 | GradNorm: 3.1751 | ms/batch: 46.4
Epoch 1/30 | Batch 4300/21973 | Loss: 3.4808 | BPB: 5.0217 | LR: 0.000000 | GradNorm: 3.2579 | ms/batch: 46.4
Epoch 1/30 | Batch 4400/21973 | Loss: 3.4778 | BPB: 5.0174 | LR: 0.000000 | GradNorm: 3.2445 | ms/batch: 46.4
Epoch 1/30 | Batch 4500/21973 | Loss: 3.4749 | BPB: 5.0132 | LR: 0.000000 | GradNorm: 3.2580 | ms/batch: 46.4
Epoch 1/30 | Batch 4600/21973 | Loss: 3.4719 | BPB: 5.0088 | LR: 0.000000 | GradNorm: 3.2206 | ms/batch: 46.4
Epoch 1/30 | Batch 4700/21973 | Loss: 3.4688 | BPB: 5.0044 | LR: 0.000000 | GradNorm: 3.2046 | ms/batch: 46.4
Epoch 1/30 | Batch 4800/21973 | Loss: 3.4656 | BPB: 4.9998 | LR: 0.000000 | GradNorm: 3.2633 | ms/batch: 46.4
