Using device: cuda
Training model...
Epoch 1/100 | Batch 7700/10987 | Loss: 1.0304 | LR: 0.000012
Epoch 1/100 | Batch 7800/10987 | Loss: 1.0273 | LR: 0.000012
Epoch 1/100 | Batch 7900/10987 | Loss: 1.0473 | LR: 0.000012
Epoch 1/100 | Batch 8000/10987 | Loss: 1.0584 | LR: 0.000012
Epoch 1/100 | Batch 8100/10987 | Loss: 1.0241 | LR: 0.000013
Epoch 1/100 | Batch 8200/10987 | Loss: 1.0369 | LR: 0.000013
Epoch 1/100 | Batch 8300/10987 | Loss: 1.0297 | LR: 0.000013
Epoch 1/100 | Batch 8400/10987 | Loss: 1.0253 | LR: 0.000013
Epoch 1/100 | Batch 8500/10987 | Loss: 1.0322 | LR: 0.000013
Epoch 1/100 | Batch 8600/10987 | Loss: 1.0406 | LR: 0.000013
Epoch 1/100 | Batch 8700/10987 | Loss: 1.0304 | LR: 0.000014
Epoch 1/100 | Batch 8800/10987 | Loss: 1.0461 | LR: 0.000014
Epoch 1/100 | Batch 8900/10987 | Loss: 1.0309 | LR: 0.000014
Epoch 1/100 | Batch 9000/10987 | Loss: 1.0452 | LR: 0.000014
Epoch 1/100 | Batch 9100/10987 | Loss: 1.0281 | LR: 0.000014
Epoch 1/100 | Batch 9200/10987 | Loss: 1.0202 | LR: 0.000014
Epoch 1/100 | Batch 9300/10987 | Loss: 1.0399 | LR: 0.000015
Epoch 1/100 | Batch 9400/10987 | Loss: 1.0270 | LR: 0.000015
Epoch 1/100 | Batch 9500/10987 | Loss: 1.0213 | LR: 0.000015
Epoch 1/100 | Batch 9600/10987 | Loss: 1.0199 | LR: 0.000015
Epoch 1/100 | Batch 9700/10987 | Loss: 1.0377 | LR: 0.000015
Epoch 1/100 | Batch 9800/10987 | Loss: 1.0319 | LR: 0.000015
Epoch 1/100 | Batch 9900/10987 | Loss: 1.0359 | LR: 0.000015
Epoch 1/100 | Batch 10000/10987 | Loss: 1.0314 | LR: 0.000016
Epoch 1/100 | Batch 10100/10987 | Loss: 1.0529 | LR: 0.000016
